elapsed_s,board_c,ambient_c,target_c,duty_pct,state,stage,session:hold-220
0,,,,,EVENT,Heat & Hold started at 220C
0,32.8,32.5,220.0,100.0,Hold,Hold
1,32.7,32.6,220.0,100.0,Hold,Hold
2,32.7,32.7,220.0,100.0,Hold,Hold
3,32.7,32.8,220.0,100.0,Hold,Hold
4,32.7,32.4,220.0,100.0,Hold,Hold
5,32.6,32.2,220.0,100.0,Hold,Hold
6,32.7,32.4,220.0,100.0,Hold,Hold
7,32.8,32.6,220.0,100.0,Hold,Hold
8,32.7,32.4,220.0,100.0,Hold,Hold
9,32.6,32.4,220.0,100.0,Hold,Hold
10,32.5,32.6,220.0,100.0,Hold,Hold
11,32.5,32.8,220.0,100.0,Hold,Hold
12,32.6,32.7,220.0,100.0,Hold,Hold
13,32.7,32.6,220.0,100.0,Hold,Hold
14,32.9,32.6,220.0,100.0,Hold,Hold
15,32.9,32.6,220.0,100.0,Hold,Hold
16,33.1,32.7,220.0,100.0,Hold,Hold
17,33.1,32.6,220.0,100.0,Hold,Hold
18,33.0,32.4,220.0,100.0,Hold,Hold
19,33.2,32.6,220.0,100.0,Hold,Hold
20,33.4,32.7,220.0,100.0,Hold,Hold
21,33.7,32.5,220.0,100.0,Hold,Hold
22,33.9,32.6,220.0,100.0,Hold,Hold
23,34.1,32.6,220.0,100.0,Hold,Hold
24,34.2,32.6,220.0,100.0,Hold,Hold
25,34.6,32.8,220.0,100.0,Hold,Hold
26,34.9,33.0,220.0,100.0,Hold,Hold
27,35.1,33.2,220.0,100.0,Hold,Hold
28,35.3,33.2,220.0,100.0,Hold,Hold
29,35.4,33.0,220.0,100.0,Hold,Hold
30,35.6,32.9,220.0,100.0,Hold,Hold
31,36.1,33.2,220.0,100.0,Hold,Hold
32,36.4,33.4,220.0,100.0,Hold,Hold
33,36.8,33.6,220.0,100.0,Hold,Hold
34,37.1,33.8,220.0,100.0,Hold,Hold
35,37.5,33.9,220.0,100.0,Hold,Hold
36,37.8,33.8,220.0,100.0,Hold,Hold
37,37.9,33.9,220.0,100.0,Hold,Hold
38,38.4,34.2,220.0,100.0,Hold,Hold
39,38.8,34.6,220.0,100.0,Hold,Hold
40,39.1,34.8,220.0,100.0,Hold,Hold
41,39.8,35.0,220.0,100.0,Hold,Hold
42,40.3,35.1,220.0,100.0,Hold,Hold
43,40.8,35.3,220.0,100.0,Hold,Hold
44,41.3,35.5,220.0,100.0,Hold,Hold
45,41.9,35.6,220.0,100.0,Hold,Hold
46,42.3,35.8,220.0,100.0,Hold,Hold
47,42.8,36.0,220.0,100.0,Hold,Hold
48,43.1,36.1,220.0,100.0,Hold,Hold
49,43.4,36.4,220.0,100.0,Hold,Hold
50,44.0,36.8,220.0,100.0,Hold,Hold
51,44.6,37.1,220.0,100.0,Hold,Hold
52,45.1,37.3,220.0,100.0,Hold,Hold
53,45.5,37.7,220.0,100.0,Hold,Hold
54,46.2,37.8,220.0,100.0,Hold,Hold
55,46.9,37.8,220.0,100.0,Hold,Hold
56,47.6,38.2,220.0,100.0,Hold,Hold
57,48.4,38.6,220.0,100.0,Hold,Hold
58,49.1,38.9,220.0,100.0,Hold,Hold
59,49.9,39.2,220.0,100.0,Hold,Hold
60,50.6,39.4,220.0,100.0,Hold,Hold
61,51.3,39.6,220.0,100.0,Hold,Hold
62,51.9,40.1,220.0,100.0,Hold,Hold
63,52.4,40.5,220.0,100.0,Hold,Hold
64,53.1,40.9,220.0,100.0,Hold,Hold
65,54.0,41.1,220.0,100.0,Hold,Hold
66,54.9,41.2,220.0,100.0,Hold,Hold
67,55.6,41.9,220.0,100.0,Hold,Hold
68,56.2,42.2,220.0,100.0,Hold,Hold
69,57.0,42.5,220.0,100.0,Hold,Hold
70,57.9,42.9,220.0,100.0,Hold,Hold
71,58.6,43.2,220.0,100.0,Hold,Hold
72,59.5,43.6,220.0,100.0,Hold,Hold
73,60.4,44.1,220.0,100.0,Hold,Hold
74,61.1,44.6,220.0,100.0,Hold,Hold
75,61.7,45.2,220.0,100.0,Hold,Hold
76,62.6,45.6,220.0,100.0,Hold,Hold
77,63.8,45.9,220.0,100.0,Hold,Hold
78,64.6,46.4,220.0,100.0,Hold,Hold
79,65.4,46.9,220.0,100.0,Hold,Hold
80,66.2,47.3,220.0,100.0,Hold,Hold
81,67.2,47.8,220.0,100.0,Hold,Hold
82,67.8,48.0,220.0,100.0,Hold,Hold
83,68.5,48.2,220.0,100.0,Hold,Hold
84,69.4,48.9,220.0,100.0,Hold,Hold
85,70.2,49.4,220.0,100.0,Hold,Hold
86,71.1,49.6,220.0,100.0,Hold,Hold
87,71.9,50.1,220.0,100.0,Hold,Hold
88,72.8,50.7,220.0,100.0,Hold,Hold
89,73.6,51.3,220.0,100.0,Hold,Hold
90,74.5,51.8,220.0,100.0,Hold,Hold
91,75.6,52.3,220.0,100.0,Hold,Hold
92,76.4,52.6,220.0,100.0,Hold,Hold
93,77.1,52.9,220.0,100.0,Hold,Hold
94,78.2,53.5,220.0,100.0,Hold,Hold
95,79.3,54.1,220.0,100.0,Hold,Hold
96,80.2,54.7,220.0,100.0,Hold,Hold
97,81.1,55.1,220.0,100.0,Hold,Hold
98,81.9,55.8,220.0,100.0,Hold,Hold
99,83.0,56.2,220.0,100.0,Hold,Hold
100,84.0,56.8,220.0,100.0,Hold,Hold
101,84.9,57.5,220.0,100.0,Hold,Hold
102,85.8,57.9,220.0,100.0,Hold,Hold
103,86.7,58.6,220.0,100.0,Hold,Hold
104,87.4,59.2,220.0,100.0,Hold,Hold
105,88.2,59.4,220.0,100.0,Hold,Hold
106,89.4,59.9,220.0,100.0,Hold,Hold
107,90.1,60.6,220.0,100.0,Hold,Hold
108,90.9,61.2,220.0,100.0,Hold,Hold
109,92.3,61.6,220.0,100.0,Hold,Hold
110,93.4,62.2,220.0,100.0,Hold,Hold
111,94.4,62.9,220.0,100.0,Hold,Hold
112,95.2,63.6,220.0,100.0,Hold,Hold
113,95.9,64.0,220.0,100.0,Hold,Hold
114,96.8,64.6,220.0,100.0,Hold,Hold
115,97.9,65.2,220.0,100.0,Hold,Hold
116,98.8,65.7,220.0,100.0,Hold,Hold
117,99.1,66.1,220.0,100.0,Hold,Hold
118,100.0,66.7,220.0,100.0,Hold,Hold
119,100.8,67.5,220.0,100.0,Hold,Hold
120,101.6,68.1,220.0,100.0,Hold,Hold
121,102.8,68.5,220.0,100.0,Hold,Hold
122,103.2,69.0,220.0,100.0,Hold,Hold
123,104.1,69.7,220.0,100.0,Hold,Hold
124,105.2,70.3,220.0,100.0,Hold,Hold
125,106.2,71.0,220.0,100.0,Hold,Hold
126,107.3,71.6,220.0,100.0,Hold,Hold
127,108.2,72.1,220.0,100.0,Hold,Hold
